alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
2,0.5074540395783278,1,100,0,1,False,2,IC,6
1,0.4751053320762969,2,100,0,2,True,2,IC,6
3,0.4731562305239003,3,100,0,3,False,2,IC,6
5,0.47294954771206144,4,100,0,4,False,2,IC,6
4,0.45595524720479047,5,100,0,5,False,2,IC,6
0,0.4173319676488482,6,100,0,6,False,2,IC,6
1,0.5235616504286523,1,109,10,2,True,2,IC,6
2,0.5220703971694505,2,109,10,1,False,2,IC,6
5,0.4839998781924987,3,109,10,4,False,2,IC,6
3,0.4510463293901978,4,109,10,3,False,2,IC,6
4,0.43450764851310575,5,109,10,5,False,2,IC,6
0,0.3866577505659786,6,109,10,6,False,2,IC,6
1,0.563761742012798,1,119,20,2,True,2,IC,6
2,0.5321613192781932,2,119,20,1,False,2,IC,6
5,0.49153562663259287,3,119,20,4,False,2,IC,6
3,0.43456495203155726,4,119,20,3,False,2,IC,6
4,0.41856324316274235,5,119,20,5,False,2,IC,6
0,0.36413954148498984,6,119,20,6,False,2,IC,6
1,0.5976630123255022,1,129,30,2,True,2,IC,6
2,0.5394321230685641,2,129,30,1,False,2,IC,6
5,0.49695323512373246,3,129,30,4,False,2,IC,6
3,0.4217516697630589,4,129,30,3,False,2,IC,6
4,0.4062112810839821,5,129,30,5,False,2,IC,6
0,0.3468541021071696,6,129,30,6,False,2,IC,6
1,0.6266462488633542,1,139,40,2,True,2,IC,6
2,0.5448461104369985,2,139,40,1,False,2,IC,6
5,0.5010096726182153,3,139,40,4,False,2,IC,6
3,0.4114752410217536,4,139,40,3,False,2,IC,6
4,0.3963430075033088,5,139,40,5,False,2,IC,6
0,0.33313909393752705,6,139,40,6,False,2,IC,6
1,0.6517143005115853,1,149,50,2,True,2,IC,6
2,0.5489844785749272,2,149,50,1,False,2,IC,6
5,0.5041465162867885,3,149,50,4,False,2,IC,6
3,0.4030332492821952,4,149,50,3,False,2,IC,6
4,0.3882679607123993,5,149,50,5,False,2,IC,6
0,0.32197554080407353,6,149,50,6,False,2,IC,6
1,0.6736136056919209,1,159,60,2,True,2,IC,6
2,0.5522162667835082,2,159,60,1,False,2,IC,6
5,0.5066366239916693,3,159,60,4,False,2,IC,6
3,0.3959645523574574,4,159,60,3,False,2,IC,6
4,0.3815323361702897,5,159,60,5,False,2,IC,6
0,0.3127021738030622,6,159,60,6,False,2,IC,6
1,0.6929115049560792,1,169,70,2,True,2,IC,6
2,0.5547855907469523,2,169,70,1,False,2,IC,6
5,0.5086566287462982,3,169,70,4,False,2,IC,6
3,0.3899528532296857,4,169,70,3,False,2,IC,6
4,0.3758248971319551,5,169,70,5,False,2,IC,6
0,0.3048701631720362,6,169,70,6,False,2,IC,6
1,0.7100470864773848,1,179,80,2,True,2,IC,6
2,0.5568594502738888,2,179,80,1,False,2,IC,6
5,0.5103253566110777,3,179,80,4,False,2,IC,6
3,0.38477340238026925,4,179,80,3,False,2,IC,6
4,0.37092469276299056,5,179,80,5,False,2,IC,6
0,0.29816362053052614,6,179,80,6,False,2,IC,6
1,0.7253655924218128,1,189,90,2,True,2,IC,6
2,0.558555352638473,2,189,90,1,False,2,IC,6
5,0.5117253752583872,3,189,90,4,False,2,IC,6
3,0.38026178403393435,4,189,90,3,False,2,IC,6
4,0.3666703260044296,5,189,90,5,False,2,IC,6
0,0.29235346778133636,6,189,90,6,False,2,IC,6
1,0.7391422850092868,1,199,100,2,True,2,IC,6
2,0.5599579863407476,2,199,100,1,False,2,IC,6
5,0.5129156656664104,3,199,100,4,False,2,IC,6
3,0.3762947485346471,4,199,100,3,False,2,IC,6
4,0.36294103557742063,5,199,100,5,False,2,IC,6
0,0.28726935242755286,6,199,100,6,False,2,IC,6
2,0.5522453312327261,1,100,0,1,False,2,IC,6
0,0.4919031340201851,2,100,0,2,True,2,IC,6
3,0.48221966805353855,3,100,0,3,False,2,IC,6
4,0.45102804951723174,4,100,0,4,False,2,IC,6
5,0.41831855427315706,5,100,0,5,False,2,IC,6
1,0.4026229379947286,6,100,0,6,False,2,IC,6
2,0.561495221181215,1,109,10,1,False,2,IC,6
0,0.5386552291210078,2,109,10,2,True,2,IC,6
3,0.45608522173984245,3,109,10,3,False,2,IC,6
4,0.43175006269461563,4,109,10,4,False,2,IC,6
1,0.42009979417488663,5,109,10,6,False,2,IC,6
5,0.38746996350066354,6,109,10,5,False,2,IC,6
0,0.5774783339189377,1,119,20,2,True,2,IC,6
2,0.5675834093150531,2,119,20,1,False,2,IC,6
3,0.4368239663625853,3,119,20,3,False,2,IC,6
1,0.43244781217256223,4,119,20,6,False,2,IC,6
4,0.41731015612043193,5,119,20,4,False,2,IC,6
5,0.36486390823028164,6,119,20,5,False,2,IC,6
0,0.6102418360594837,1,129,30,2,True,2,IC,6
2,0.5717784709473837,2,129,30,1,False,2,IC,6
1,0.4416154680533352,3,129,30,6,False,2,IC,6
3,0.42200385362250914,4,129,30,3,False,2,IC,6
4,0.40603706769148273,5,129,30,4,False,2,IC,6
5,0.3475375005521266,6,129,30,5,False,2,IC,6
0,0.6382678173197175,1,139,40,2,True,2,IC,6
2,0.5747712250626049,2,139,40,1,False,2,IC,6
1,0.44868245435096793,3,139,40,6,False,2,IC,6
3,0.410230061354353,4,139,40,3,False,2,IC,6
4,0.3969623220072548,5,139,40,4,False,2,IC,6
5,0.3338076733235221,6,139,40,5,False,2,IC,6
0,0.6625184099514051,1,149,50,2,True,2,IC,6
2,0.576965055080147,2,149,50,1,False,2,IC,6
1,0.45429273222389277,3,149,50,6,False,2,IC,6
3,0.40064161428733824,4,149,50,3,False,2,IC,6
4,0.38948256684927246,5,149,50,4,False,2,IC,6
5,0.3226441940961136,6,149,50,5,False,2,IC,6
0,0.6837108820449385,1,159,60,2,True,2,IC,6
2,0.5786085736877465,2,159,60,1,False,2,IC,6
1,0.45885302197004785,3,159,60,6,False,2,IC,6
3,0.39267661656008235,4,159,60,3,False,2,IC,6
4,0.3832005577184528,5,159,60,4,False,2,IC,6
5,0.3133794495684443,6,159,60,5,False,2,IC,6
0,0.7023910986827915,1,169,70,2,True,2,IC,6
2,0.5798617634217671,2,169,70,1,False,2,IC,6
1,0.46263228523352645,3,169,70,6,False,2,IC,6
3,0.38595196070732174,4,169,70,3,False,2,IC,6
4,0.37784310779393493,5,169,70,4,False,2,IC,6
5,0.3055609192357165,6,169,70,5,False,2,IC,6
0,0.718981966908592,1,179,80,2,True,2,IC,6
2,0.5808312788853451,2,179,80,1,False,2,IC,6
1,0.46581522307443946,3,179,80,6,False,2,IC,6
3,0.3801970490299663,4,179,80,3,False,2,IC,6
4,0.3732156177617484,5,179,80,4,False,2,IC,6
5,0.2988705134201508,6,179,80,5,False,2,IC,6
0,0.7338162914954849,1,189,90,2,True,2,IC,6
2,0.581590355107388,2,189,90,1,False,2,IC,6
1,0.4685327373811058,3,189,90,6,False,2,IC,6
3,0.37521509910053463,4,189,90,3,False,2,IC,6
