alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
1,0.8161308699012327,1,100,0,1,False,2,UM50,6
5,0.7538421887626956,2,100,0,2,True,2,UM50,6
0,0.46582658297801666,3,100,0,3,False,2,UM50,6
3,0.2901437020256192,4,100,0,4,False,2,UM50,6
2,0.2620910335161494,5,100,0,5,False,2,UM50,6
4,0.2435615273081328,6,100,0,6,False,2,UM50,6
5,0.7863632918872228,1,109,10,2,True,2,UM50,6
1,0.7531074899385846,2,109,10,1,False,2,UM50,6
0,0.4259510537250277,3,109,10,3,False,2,UM50,6
3,0.31465839416919394,4,109,10,4,False,2,UM50,6
2,0.25303443432197176,5,109,10,5,False,2,UM50,6
4,0.24488741285245835,6,109,10,6,False,2,UM50,6
5,0.8104246550217198,1,119,20,2,True,2,UM50,6
1,0.7086825913178335,2,119,20,1,False,2,UM50,6
0,0.41249283038159146,3,119,20,3,False,2,UM50,6
3,0.3326614285928314,4,119,20,4,False,2,UM50,6
4,0.25328560553421364,5,119,20,6,False,2,UM50,6
2,0.24621198644960157,6,119,20,5,False,2,UM50,6
5,0.829119309313544,1,129,30,2,True,2,UM50,6
1,0.6753439083387225,2,129,30,1,False,2,UM50,6
0,0.4045983718589232,3,129,30,3,False,2,UM50,6
3,0.3465338457882538,4,129,30,4,False,2,UM50,6
4,0.25993042055927695,5,129,30,6,False,2,UM50,6
2,0.24084630008980099,6,129,30,5,False,2,UM50,6
5,0.8441522056344326,1,139,40,2,True,2,UM50,6
1,0.6492569623205494,2,139,40,1,False,2,UM50,6
0,0.39877748480154906,3,139,40,3,False,2,UM50,6
3,0.3575773267165845,4,139,40,4,False,2,UM50,6
4,0.26542068520533785,5,139,40,6,False,2,UM50,6
2,0.23649617391113015,6,139,40,5,False,2,UM50,6
5,0.8565545519597814,1,149,50,2,True,2,UM50,6
1,0.6282173161215192,2,149,50,1,False,2,UM50,6
0,0.39429025344623475,3,149,50,3,False,2,UM50,6
3,0.366584099736586,4,149,50,4,False,2,UM50,6
4,0.27008254507288126,5,149,50,6,False,2,UM50,6
2,0.23288791483726215,6,149,50,5,False,2,UM50,6
5,0.8669926861662246,1,159,60,2,True,2,UM50,6
1,0.6108517345529431,2,159,60,1,False,2,UM50,6
0,0.3907164409430074,3,159,60,3,False,2,UM50,6
3,0.3740707026473446,4,159,60,4,False,2,UM50,6
4,0.2741159528310856,5,159,60,6,False,2,UM50,6
2,0.2298408102740653,6,159,60,5,False,2,UM50,6
5,0.8759192053374238,1,169,70,2,True,2,UM50,6
1,0.5962535222770724,2,169,70,1,False,2,UM50,6
0,0.38779810051888386,3,169,70,3,False,2,UM50,6
3,0.38039074991539706,4,169,70,4,False,2,UM50,6
4,0.2776541239883389,5,169,70,6,False,2,UM50,6
2,0.2272298665242233,6,169,70,5,False,2,UM50,6
5,0.8836538131659244,1,179,80,2,True,2,UM50,6
1,0.5837968560991122,2,179,80,1,False,2,UM50,6
3,0.38579542445487264,3,179,80,4,False,2,UM50,6
0,0.38536736687547596,4,179,80,3,False,2,UM50,6
4,0.28079125592286835,5,179,80,6,False,2,UM50,6
2,0.22496544727821938,6,179,80,5,False,2,UM50,6
5,0.8904296118292974,1,189,90,2,True,2,UM50,6
1,0.5730343296545495,2,189,90,1,False,2,UM50,6
3,0.39046845006910214,3,189,90,4,False,2,UM50,6
0,0.38330990235793405,4,189,90,3,False,2,UM50,6
4,0.2835969270102051,5,189,90,6,False,2,UM50,6
2,0.22298137612879582,6,189,90,5,False,2,UM50,6
5,0.8964210736521558,1,199,100,2,True,2,UM50,6
1,0.5636368016707966,2,199,100,1,False,2,UM50,6
3,0.39454747374556093,3,199,100,4,False,2,UM50,6
0,0.3815449309476505,4,199,100,3,False,2,UM50,6
4,0.28612424691356503,5,199,100,6,False,2,UM50,6
2,0.2212276107535543,6,199,100,5,False,2,UM50,6
1,0.8,1,100,0,1,False,2,UM50,6
4,0.524198402948403,2,100,0,2,True,2,UM50,6
3,0.42956715003773827,3,100,0,3,False,2,UM50,6
0,0.38321526916728155,4,100,0,4,False,2,UM50,6
5,0.20249202327327326,5,100,0,5,False,2,UM50,6
2,0.16207386363636367,6,100,0,6,False,2,UM50,6
1,0.7372750776206722,1,109,10,1,False,2,UM50,6
4,0.6161085036021098,2,109,10,2,True,2,UM50,6
3,0.32519886848000457,3,109,10,3,False,2,UM50,6
0,0.2968644227548337,4,109,10,4,False,2,UM50,6
5,0.20167187219645422,5,109,10,5,False,2,UM50,6
2,0.1609360457385986,6,109,10,6,False,2,UM50,6
1,0.6918698617507659,1,119,20,1,False,2,UM50,6
4,0.6442690278901402,2,119,20,2,True,2,UM50,6
3,0.31259832591948394,3,119,20,3,False,2,UM50,6
0,0.28728490989564204,4,119,20,4,False,2,UM50,6
5,0.2043495784113633,5,119,20,5,False,2,UM50,6
2,0.1599931864637747,6,119,20,6,False,2,UM50,6
4,0.666068518423615,1,129,30,2,True,2,UM50,6
1,0.6571812155105367,2,129,30,1,False,2,UM50,6
3,0.30630296774341637,3,129,30,3,False,2,UM50,6
0,0.2830925817314491,4,129,30,4,False,2,UM50,6
5,0.21318150868887137,5,129,30,5,False,2,UM50,6
2,0.15919929349425965,6,129,30,6,False,2,UM50,6
4,0.6846493625985588,1,139,40,2,True,2,UM50,6
1,0.6296765958111391,2,139,40,1,False,2,UM50,6
3,0.30209956473483585,3,139,40,3,False,2,UM50,6
0,0.28068945444587934,4,139,40,4,False,2,UM50,6
5,0.22041005291005292,5,139,40,5,False,2,UM50,6
2,0.15852175402535118,6,139,40,6,False,2,UM50,6
4,0.7009769172473052,1,149,50,2,True,2,UM50,6
1,0.607262112024594,2,149,50,1,False,2,UM50,6
3,0.2989449156594768,3,149,50,3,False,2,UM50,6
0,0.2791594077697848,4,149,50,4,False,2,UM50,6
5,0.22647730472579147,5,149,50,5,False,2,UM50,6
2,0.1579368071789458,6,149,50,6,False,2,UM50,6
4,0.7155433380415602,1,159,60,2,True,2,UM50,6
1,0.5886045290027674,2,159,60,1,False,2,UM50,6
3,0.2964305390873502,3,159,60,3,False,2,UM50,6
0,0.27813685346239736,4,159,60,4,False,2,UM50,6
5,0.23166571895321836,5,159,60,5,False,2,UM50,6
2,0.15742673625050183,6,159,60,6,False,2,UM50,6
4,0.7286649006051992,1,169,70,2,True,2,UM50,6
1,0.572808676676114,2,169,70,1,False,2,UM50,6
3,0.2943527559433893,3,169,70,3,False,2,UM50,6
0,0.2774388960838293,4,169,70,4,False,2,UM50,6
5,0.23616717391102016,5,169,70,5,False,2,UM50,6
2,0.15697806467037237,6,169,70,6,False,2,UM50,6
4,0.7405695334653575,1,179,80,2,True,2,UM50,6
1,0.5592483029376233,2,179,80,1,False,2,UM50,6
3,0.2925937727070299,3,179,80,3,False,2,UM50,6
0,0.27696106573602625,4,179,80,4,False,2,UM50,6
5,0.24011816399974295,5,179,80,5,False,2,UM50,6
2,0.15658036097980232,6,179,80,6,False,2,UM50,6
4,0.7514319742120438,1,189,90,2,True,2,UM50,6
1,0.5474706466031775,2,189,90,1,False,2,UM50,6
3,0.29107845932074616,3,189,90,3,False,2,UM50,6
0,0.2766384035950872,4,189,90,4,False,2,UM50,6
5,0.2436193105142514,5,189,90,5,False,2,UM50,6
2,0.15622542595019662,6,189,90,6,False,2,UM50,6
4,0.7613912050930871,1,199,100,2,True,2,UM50,6
1,0.5371394260371648,2,199,100,1,False,2,UM50,6
3,0.2897555275406335,3,199,100,3,False,2,UM50,6
0,0.2764281073911589,4,199,100,4,False,2,UM50,6
5,0.24674692015153382,5,199,100,5,False,2,UM50,6
2,0.1559067266155338,6,199,100,6,False,2,UM50,6
2,0.7317249417249417,1,100,0,1,False,2,UM50,6
1,0.5911421911421911,2,100,0,2,True,2,UM50,6
0,0.5911421911421911,2,100,0,3,False,2,UM50,6
5,0.5518181818181818,4,100,0,4,False,2,UM50,6
4,0.3706293706293706,5,100,0,5,False,2,UM50,6
3,0.3627272727272728,6,100,0,6,False,2,UM50,6
1,0.7930940170940171,1,109,10,2,True,2,UM50,6
2,0.6933255121681167,2,109,10,1,False,2,UM50,6
0,0.5331531161861248,3,109,10,3,False,2,UM50,6
5,0.5204603958732399,4,109,10,4,False,2,UM50,6
