number_proposals,number_individuals,simulation,RANK(WR),RANK(COP),RANK(STD),RANK(DIV(WR)),RANK(DIV(COP)),"KT(WR,STD)","KT(WR,COP)","KT(WR,RANK(DIV(WR)))","KT(WR,RANK(DIV(COP)))","KT(RANK(DIV(WR)),STD)","KT(RANK(DIV(WR)),COP)","KT(RANK(DIV(WR)),RANK(DIV(COP)))","KT(RANK(DIV(COP)),STD)","KT(RANK(DIV(COP)),COP)","KT(RANK(DIV(COP)),RANK(DIV(WR)))"
3,100,0,"[1, 2, 0]","[1, 2, 0]","[2, 0, 1]","[2, 0, 1]","[0, 1, 2]",-0.33333333333333337,1.0,-0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337
3,200,0,"[0, 1, 2]","[0, 1, 2]","[1, 2, 0]","[1, 2, 0]","[0, 1, 2]",-0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337
3,300,0,"[0, 2, 1]","[0, 2, 1]","[0, 2, 1]","[0, 2, 1]","[0, 1, 2]",1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
3,400,0,"[2, 1, 0]","[2, 0, 1]","[1, 2, 0]","[1, 2, 0]","[0, 1, 2]",0.33333333333333337,0.33333333333333337,0.33333333333333337,-1.0,1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337
3,500,0,"[0, 1, 2]","[0, 1, 2]","[0, 1, 2]","[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,100,0,"[2, 1, 0, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[1, 0, 2, 3]","[0, 1, 2, 3]",0.0,0.0,0.3333333333333334,0.0,0.6666666666666669,0.6666666666666669,0.6666666666666669,1.0,1.0,0.6666666666666669
4,200,0,"[2, 1, 3, 0]","[2, 3, 1, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 2, 3]",-0.3333333333333334,0.0,-0.3333333333333334,-0.3333333333333334,1.0,0.0,-0.3333333333333334,-0.3333333333333334,-0.6666666666666669,-0.3333333333333334
4,300,0,"[1, 0, 2, 3]","[0, 1, 2, 3]","[3, 0, 2, 1]","[3, 0, 2, 1]","[0, 1, 2, 3]",0.0,0.6666666666666669,0.0,0.6666666666666669,1.0,-0.3333333333333334,-0.3333333333333334,-0.3333333333333334,1.0,-0.3333333333333334
4,400,0,"[2, 1, 0, 3]","[0, 1, 2, 3]","[1, 2, 3, 0]","[1, 2, 3, 0]","[0, 1, 2, 3]",-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,500,0,"[1, 2, 0, 3]","[1, 0, 2, 3]","[1, 3, 0, 2]","[1, 3, 0, 2]","[0, 1, 2, 3]",0.6666666666666669,0.0,0.6666666666666669,0.3333333333333334,1.0,-0.3333333333333334,0.0,0.0,0.6666666666666669,0.0
5,100,0,"[3, 4, 1, 0, 2]","[3, 4, 1, 0, 2]","[2, 1, 4, 3, 0]","[2, 1, 4, 3, 0]","[0, 1, 2, 3, 4]",-0.39999999999999997,0.9999999999999999,-0.39999999999999997,-0.39999999999999997,0.9999999999999999,-0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,-0.19999999999999998
5,200,0,"[1, 0, 2, 4, 3]","[1, 0, 2, 4, 3]","[0, 3, 4, 1, 2]","[0, 3, 4, 1, 2]","[0, 1, 2, 3, 4]",-0.19999999999999998,0.9999999999999999,-0.19999999999999998,0.6,0.9999999999999999,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.6,0.19999999999999998
5,300,0,"[3, 1, 4, 2, 0]","[3, 1, 0, 4, 2]","[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]","[0, 1, 2, 3, 4]",-0.6,-0.19999999999999998,-0.6,-0.39999999999999997,0.9999999999999999,0.6,0.39999999999999997,0.39999999999999997,0.0,0.39999999999999997
5,400,0,"[1, 0, 3, 2, 4]","[0, 1, 2, 3, 4]","[3, 4, 1, 2, 0]","[3, 4, 1, 2, 0]","[0, 1, 2, 3, 4]",-0.9999999999999999,0.6,-0.9999999999999999,0.6,0.9999999999999999,-0.6,-0.6,-0.6,0.9999999999999999,-0.6
5,500,0,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]","[4, 2, 0, 3, 1]","[4, 2, 0, 3, 1]","[0, 1, 2, 3, 4]",-0.6,0.9999999999999999,-0.6,0.39999999999999997,0.9999999999999999,-0.6,-0.39999999999999997,-0.39999999999999997,0.39999999999999997,-0.39999999999999997
6,100,0,"[0, 4, 5, 3, 2, 1]","[4, 0, 5, 2, 3, 1]","[4, 0, 5, 3, 1, 2]","[4, 0, 5, 3, 1, 2]","[0, 1, 2, 3, 4, 5]",-0.06666666666666665,-0.06666666666666665,-0.06666666666666665,-0.2,0.9999999999999999,0.7333333333333333,-0.2,-0.2,-0.2,-0.2
6,200,0,"[5, 2, 3, 1, 4, 0]","[2, 3, 5, 1, 4, 0]","[1, 2, 5, 0, 3, 4]","[1, 2, 5, 0, 3, 4]","[0, 1, 2, 3, 4, 5]",-0.06666666666666665,0.4666666666666666,-0.06666666666666665,-0.4666666666666666,0.9999999999999999,0.4666666666666666,0.3333333333333333,0.3333333333333333,-0.2,0.3333333333333333
6,300,0,"[3, 4, 1, 5, 0, 2]","[3, 4, 0, 1, 5, 2]","[1, 3, 5, 0, 2, 4]","[1, 3, 5, 2, 0, 4]","[0, 1, 2, 3, 4, 5]",-0.4666666666666666,-0.06666666666666665,-0.06666666666666665,-0.2,0.6,-0.6,0.06666666666666665,0.2,0.06666666666666665,0.06666666666666665
