perc_rows,number_rows,number_issues,number_agents,profile,RANK(WR),RANK(COP),RANK(STD),RANK(DIV(WR)),RANK(DIV(COP))
0.1,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[0, 1, 2]","[0, 1, 2]"
0.11,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[0, 1, 2]"
0.12,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[0, 2, 1]"
0.13,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.13999999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 0, 1]","[2, 0, 1]"
0.14999999999999997,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.15999999999999998,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.16999999999999998,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.17999999999999997,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.18999999999999995,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.19999999999999996,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.20999999999999996,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.21999999999999995,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.22999999999999995,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.23999999999999994,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.24999999999999992,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.2599999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.2699999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
0.2799999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]"
